Model,Training_Rate,Activation,MSE,MAE
fcnn,0.1,relu,763.0635986328125,18.521512985229492
fcnn,0.1,relu,484.46923828125,16.20991325378418
fcnn,0.01,relu,5775.98291015625,67.01446533203125
fcnn,0.01,relu,534.6078491210938,15.495518684387207
fcnn,0.01,relu,490.8795471191406,15.050048828125
fcnn,0.01,relu,506.0465087890625,16.124496459960938
fcnn,0.01,relu,6252.6279296875,68.509765625
fcnn,0.01,relu,3379.480224609375,46.44545364379883
fcnn,0.01,relu,2299.683349609375,37.39396286010742
fcnn,0.01,relu,6252.6279296875,68.509765625
fcnn,0.01,relu,2815.97705078125,40.425071716308594
fcnn,0.01,relu,507.8172607421875,14.925726890563965
fcnn,0.01,relu,3025.68115234375,38.80412292480469
fcnn,0.01,relu,4537.4775390625,54.954307556152344
fcnn,0.01,relu,547.4340209960938,17.71140480041504
fcnn,0.01,relu,545.6803588867188,15.465639114379883
fcnn,0.01,relu,2413.27197265625,36.81678771972656
fcnn,0.01,relu,468.27587890625,16.08536148071289
fcnn,0.01,relu,2027.8275146484375,29.64647674560547
fcnn,0.01,relu,483.4256286621094,15.896007537841797
fcnn,0.01,relu,822.7664184570312,21.983356475830078
fcnn,0.01,relu,632.1564331054688,18.55369758605957
fcnn,0.01,relu,1482.5087890625,27.103334426879883
fcnn,0.01,relu,3183.51904296875,39.9747428894043
fcnn,0.01,relu,511.58416748046875,16.489450454711914
fcnn,0.01,relu,552.404052734375,16.932371139526367
fcnn,0.01,relu,2141.13134765625,38.935142517089844
fcnn,0.01,relu,1191.059814453125,30.44760513305664
fcnn,0.01,relu,729.7924194335938,20.747892379760742
fcnn,0.01,relu,6252.6279296875,68.509765625
fcnn,0.01,relu,476.31134033203125,15.681619644165039
fcnn,0.01,relu,3915.704833984375,49.94379806518555
fcnn,0.01,relu,538.62744140625,15.667876243591309
fcnn,0.01,relu,765.3270874023438,22.77720832824707
fcnn,0.01,relu,544.4520874023438,17.73593521118164
fcnn,0.01,relu,493.86114501953125,16.09694480895996
fcnn,0.01,relu,2171.412109375,31.805299758911133
fcnn,0.01,relu,1564.3271484375,33.82973098754883
fcnn,0.01,relu,2549.136962890625,39.55894470214844
fcnn,0.01,relu,5179.63427734375,64.6331787109375
fcnn,0.01,relu,6252.6279296875,68.509765625
fcnn,0.01,relu,589.02099609375,19.40972900390625
fcnn,0.01,relu,6252.6279296875,68.509765625
fcnn,0.01,relu,554.3772583007812,17.497333526611328
fcnn,0.01,relu,3484.19287109375,53.81963348388672
fcnn,0.01,relu,874.4881591796875,22.98237419128418
fcnn,0.01,relu,4260.42431640625,55.42887496948242
fcnn,0.01,relu,6252.6279296875,68.509765625
fcnn,0.01,relu,2915.214111328125,45.111793518066406
fcnn,0.01,relu,466.7005920410156,15.5238037109375
fcnn,0.01,relu,498.736083984375,15.574355125427246
fcnn,0.01,relu,2129.05615234375,35.19060134887695
fcnn,0.01,relu,723.2374877929688,21.20957374572754
fcnn,0.01,relu,888.381591796875,23.722625732421875
fcnn,0.01,relu,569.302490234375,16.011045455932617
fcnn,0.01,relu,427.38629150390625,14.630053520202637
fcnn,0.01,relu,515.6489868164062,16.495840072631836
fcnn,0.01,relu,516.3738403320312,15.857743263244629
fcnn,0.01,relu,1097.18505859375,23.44701385498047
fcnn,0.01,relu,2503.22802734375,41.58854675292969
fcnn,0.01,relu,6252.6279296875,68.509765625
fcnn,0.01,relu,715.7169799804688,20.70218849182129
fcnn,0.01,relu,1987.20361328125,29.58916664123535
fcnn,0.01,relu,538.416748046875,16.535463333129883
fcnn,0.01,relu,2208.47607421875,35.986549377441406
fcnn,0.01,relu,548.7139282226562,16.06275177001953
fcnn,0.01,relu,495.78033447265625,15.19644832611084
fcnn,0.01,relu,507.5569763183594,15.60071086883545
fcnn,0.01,relu,2028.29638671875,29.013545989990234
fcnn,0.01,relu,1134.0025634765625,26.671239852905273
fcnn,0.01,relu,439.6195983886719,14.250372886657715
fcnn,0.01,relu,500.7053527832031,15.63320541381836
fcnn,0.01,relu,530.2105102539062,16.196861267089844
fcnn,0.01,relu,555.878662109375,18.64996910095215
fcnn,0.01,relu,3443.16357421875,49.998069763183594
fcnn,0.01,relu,509.90313720703125,17.334836959838867
fcnn,0.01,relu,545.5834350585938,15.647719383239746
fcnn,0.01,relu,572.9946899414062,19.503520965576172
fcnn,0.01,relu,7345.70751953125,82.90040588378906
fcnn,0.01,relu,605.2714233398438,18.8341121673584
fcnn,0.01,relu,2137.141357421875,35.87351608276367
fcnn,0.01,relu,581.3621826171875,16.649169921875
fcnn,0.01,relu,572.1740112304688,16.95410919189453
fcnn,0.01,relu,3631.523681640625,46.35865783691406
fcnn,0.01,relu,2374.718994140625,40.03952407836914
fcnn,0.01,relu,478.5213317871094,16.680694580078125
fcnn,0.01,relu,2216.90771484375,41.211090087890625
fcnn,0.01,relu,1926.815185546875,32.0179443359375
fcnn,0.01,relu,1753.4456787109375,30.7685489654541
fcnn,0.01,relu,2453.8271484375,42.655548095703125
fcnn,0.01,relu,491.2703552246094,15.955490112304688
fcnn,0.01,relu,658.5706176757812,19.827205657958984
fcnn,0.01,relu,6252.6279296875,68.509765625
fcnn,0.01,relu,5336.71240234375,63.871707916259766
fcnn,0.01,relu,496.1511535644531,15.638837814331055
fcnn,0.01,relu,656.4573974609375,20.74927520751953
fcnn,0.01,relu,3030.80712890625,50.88264846801758
fcnn,0.01,relu,557.1002197265625,16.835405349731445
fcnn,0.01,relu,450.5347900390625,14.475707054138184
fcnn,0.01,relu,559.8709716796875,18.263843536376953
fcnn,0.01,relu,482.303955078125,16.140195846557617
fcnn,0.01,relu,554.9656372070312,16.047544479370117
fcnn,0.001,relu,1013.4409790039062,21.60596466064453
fcnn,0.001,relu,703.8009643554688,19.110790252685547
fcnn,0.001,relu,922.9028930664062,21.47722625732422
fcnn,0.001,relu,965.380126953125,21.722471237182617
fcnn,0.001,relu,6252.6279296875,68.509765625
fcnn,0.001,relu,1093.596435546875,22.548511505126953
fcnn,0.001,relu,671.781494140625,16.73302459716797
fcnn,0.001,relu,1432.0369873046875,24.50815200805664
fcnn,0.001,relu,1029.8818359375,22.131498336791992
fcnn,0.001,relu,766.6516723632812,18.52945327758789
fcnn,0.001,relu,1303.9541015625,23.576292037963867
fcnn,0.001,relu,699.2763671875,18.17136001586914
fcnn,0.001,relu,695.2991943359375,18.71680450439453
fcnn,0.001,relu,863.7424926757812,21.438121795654297
fcnn,0.001,relu,6252.6279296875,68.509765625
fcnn,0.001,relu,794.3924560546875,19.48161506652832
fcnn,0.001,relu,780.0822143554688,18.974353790283203
fcnn,0.001,relu,926.3994140625,21.474794387817383
fcnn,0.001,relu,1851.1539306640625,28.22241973876953
fcnn,0.001,relu,659.771728515625,18.620698928833008
fcnn,0.001,relu,928.1394653320312,21.061555862426758
fcnn,0.001,relu,607.6007080078125,17.1865234375
fcnn,0.001,relu,574.7883911132812,17.618738174438477
fcnn,0.001,relu,525.869140625,15.689018249511719
fcnn,0.001,relu,778.2428588867188,19.465707778930664
fcnn,0.001,relu,859.755126953125,20.131460189819336
fcnn,0.001,relu,651.51513671875,18.02963638305664
fcnn,0.001,relu,625.8642578125,17.309228897094727
fcnn,0.001,relu,1156.6109619140625,22.63100242614746
fcnn,0.001,relu,893.0629272460938,19.816041946411133
fcnn,0.001,relu,938.1056518554688,21.553916931152344
fcnn,0.001,relu,1661.905029296875,25.185333251953125
fcnn,0.001,relu,725.6506958007812,18.48234748840332
fcnn,0.001,relu,650.9628295898438,18.176738739013672
fcnn,0.001,relu,693.8789672851562,17.915233612060547
fcnn,0.001,relu,633.9110717773438,17.767189025878906
fcnn,0.001,relu,872.6943969726562,20.42647933959961
fcnn,0.001,relu,1337.11865234375,23.98320770263672
fcnn,0.001,relu,705.3651733398438,18.19923973083496
fcnn,0.001,relu,572.3556518554688,17.69426918029785
fcnn,0.001,relu,730.1093139648438,18.079326629638672
fcnn,0.001,relu,1830.090087890625,28.05201530456543
fcnn,0.001,relu,1063.4400634765625,21.777198791503906
fcnn,0.001,relu,632.823486328125,17.381376266479492
fcnn,0.001,relu,669.5819702148438,18.066993713378906
fcnn,0.001,relu,1424.4129638671875,24.366533279418945
fcnn,0.001,relu,666.4767456054688,17.194595336914062
fcnn,0.001,relu,944.218505859375,21.032508850097656
fcnn,0.001,relu,818.4866943359375,19.50787353515625
fcnn,0.001,relu,736.4555053710938,18.49712371826172
fcnn,0.001,relu,962.955322265625,21.67105484008789
fcnn,0.001,relu,601.3157348632812,17.49274253845215
fcnn,0.001,relu,6252.6279296875,68.509765625
fcnn,0.001,relu,688.2349243164062,18.731321334838867
fcnn,0.001,relu,791.9141235351562,19.66397476196289
fcnn,0.001,relu,668.556640625,18.16053009033203
fcnn,0.001,relu,966.450439453125,22.51172637939453
fcnn,0.001,relu,1316.239990234375,24.947195053100586
fcnn,0.001,relu,979.9266357421875,22.346384048461914
fcnn,0.001,relu,760.4254760742188,19.69139289855957
fcnn,0.001,relu,6252.6279296875,68.509765625
fcnn,0.001,relu,1251.767822265625,24.095928192138672
fcnn,0.001,relu,669.9049682617188,18.427520751953125
fcnn,0.001,relu,813.2610473632812,20.501811981201172
fcnn,0.001,relu,998.537353515625,21.66050148010254
fcnn,0.001,relu,641.5157470703125,18.438129425048828
fcnn,0.001,relu,782.41015625,19.51407241821289
fcnn,0.001,relu,6252.6279296875,68.509765625
fcnn,0.001,relu,771.33837890625,19.196943283081055
fcnn,0.001,relu,686.6539306640625,17.893693923950195
fcnn,0.001,relu,744.2410888671875,19.656932830810547
fcnn,0.001,relu,836.5576782226562,19.546621322631836
fcnn,0.001,relu,1260.5155029296875,24.613868713378906
fcnn,0.001,relu,896.4212646484375,20.35504722595215
fcnn,0.001,relu,631.0713500976562,18.22694206237793
fcnn,0.001,relu,583.232421875,17.208253860473633
fcnn,0.001,relu,677.34130859375,18.01069450378418
fcnn,0.001,relu,1080.012451171875,22.867464065551758
fcnn,0.001,relu,770.7349243164062,20.118494033813477
fcnn,0.001,relu,819.2448120117188,20.46157455444336
fcnn,0.001,relu,713.031494140625,18.684228897094727
fcnn,0.001,relu,1020.3572387695312,22.624523162841797
fcnn,0.001,relu,512.053955078125,15.795329093933105
fcnn,0.001,relu,786.9764404296875,18.97359275817871
fcnn,0.001,relu,598.3978881835938,17.05165672302246
fcnn,0.001,relu,1018.1788330078125,21.472610473632812
fcnn,0.001,relu,954.5325317382812,22.357473373413086
fcnn,0.001,relu,1380.1766357421875,24.82215690612793
fcnn,0.001,relu,796.9711303710938,20.032569885253906
fcnn,0.001,relu,811.1744995117188,18.596269607543945
fcnn,0.001,relu,1294.01513671875,24.759244918823242
fcnn,0.001,relu,1426.8270263671875,24.10350799560547
fcnn,0.001,relu,1019.7451782226562,22.520721435546875
fcnn,0.001,relu,1428.3876953125,24.601728439331055
fcnn,0.001,relu,804.6250610351562,18.741670608520508
fcnn,0.001,relu,649.6597900390625,17.749183654785156
fcnn,0.001,relu,673.1517944335938,18.230186462402344
fcnn,0.001,relu,753.5592651367188,20.23406410217285
fcnn,0.001,relu,694.6165771484375,17.927541732788086
fcnn,0.001,relu,708.404296875,18.51483154296875
fcnn,0.0001,relu,3772.061279296875,46.457366943359375
fcnn,0.0001,relu,5133.72314453125,59.65549087524414
fcnn,0.0001,relu,5076.49755859375,59.295074462890625
fcnn,0.0001,relu,5658.33837890625,64.74479675292969
fcnn,0.0001,relu,3562.262451171875,46.32952117919922
fcnn,0.0001,relu,4286.30908203125,51.72342300415039
fcnn,0.0001,relu,6252.6279296875,68.509765625
fcnn,0.0001,relu,4568.73779296875,55.21017837524414
fcnn,0.0001,relu,3410.59521484375,42.28614044189453
fcnn,0.0001,relu,5257.78515625,60.645408630371094
fcnn,0.0001,relu,4232.70556640625,52.24733352661133
fcnn,0.0001,relu,4222.55908203125,50.9809684753418
fcnn,0.0001,relu,4124.7802734375,49.892723083496094
fcnn,0.0001,relu,4971.4296875,58.51957321166992
fcnn,0.0001,relu,5040.70654296875,58.787010192871094
fcnn,0.0001,relu,4392.419921875,52.41309356689453
fcnn,0.0001,relu,4849.45751953125,58.107398986816406
fcnn,0.0001,relu,3598.2958984375,45.680267333984375
fcnn,0.0001,relu,5988.47802734375,67.12386322021484
fcnn,0.0001,relu,2584.052734375,36.362178802490234
fcnn,0.0001,relu,4516.29736328125,54.436763763427734
fcnn,0.0001,relu,5092.232421875,59.42559051513672
fcnn,0.0001,relu,5071.9697265625,59.048091888427734
fcnn,0.0001,relu,5372.5869140625,62.18849182128906
fcnn,0.0001,relu,5026.26708984375,58.336177825927734
fcnn,0.0001,relu,4992.8984375,58.249454498291016
fcnn,0.0001,relu,6147.04345703125,67.95123291015625
fcnn,0.0001,relu,4588.64599609375,54.65335464477539
fcnn,0.0001,relu,4552.88427734375,54.08163070678711
fcnn,0.0001,relu,4871.2880859375,58.1680908203125
fcnn,0.0001,relu,3128.204833984375,40.264320373535156
fcnn,0.0001,relu,3609.8291015625,45.18797302246094
fcnn,0.0001,relu,3647.35693359375,45.75584411621094
fcnn,0.0001,relu,5169.8251953125,60.3390007019043
fcnn,0.0001,relu,4194.27880859375,50.5146598815918
fcnn,0.0001,relu,4447.4462890625,53.358795166015625
fcnn,0.0001,relu,3694.379638671875,45.488487243652344
fcnn,0.0001,relu,4135.77685546875,50.754364013671875
fcnn,0.0001,relu,3990.31298828125,48.441349029541016
fcnn,0.0001,relu,5576.03369140625,63.57822799682617
fcnn,0.0001,relu,4980.7060546875,57.8386344909668
fcnn,0.0001,relu,2887.2744140625,39.037784576416016
fcnn,0.0001,relu,4830.28369140625,57.432350158691406
fcnn,0.0001,relu,4611.267578125,54.920501708984375
fcnn,0.0001,relu,2936.72216796875,38.56446075439453
fcnn,0.0001,relu,5025.95068359375,58.81791305541992
fcnn,0.0001,relu,6252.6279296875,68.509765625
fcnn,0.0001,relu,3455.0078125,42.66603088378906
fcnn,0.0001,relu,4995.34619140625,58.7667121887207
fcnn,0.0001,relu,4491.03662109375,54.408790588378906
fcnn,0.0001,relu,2996.672119140625,39.87259292602539
fcnn,0.0001,relu,5141.5263671875,59.70134735107422
fcnn,0.0001,relu,3504.43212890625,43.97600555419922
fcnn,0.0001,relu,4086.869140625,49.059478759765625
fcnn,0.0001,relu,3623.77001953125,45.14259338378906
fcnn,0.0001,relu,4609.2919921875,54.8366813659668
fcnn,0.0001,relu,6252.6279296875,68.509765625
fcnn,0.0001,relu,4208.55810546875,50.770206451416016
fcnn,0.0001,relu,3647.837646484375,46.0466194152832
fcnn,0.0001,relu,3166.165283203125,42.58366775512695
fcnn,0.0001,relu,4807.73876953125,57.542388916015625
fcnn,0.0001,relu,4772.70458984375,56.40858840942383
fcnn,0.0001,relu,5522.11474609375,63.801334381103516
fcnn,0.0001,relu,3868.201416015625,48.49319839477539
fcnn,0.0001,relu,6252.6279296875,68.509765625
fcnn,0.0001,relu,5269.8828125,60.66947937011719
fcnn,0.0001,relu,4409.89501953125,53.260658264160156
fcnn,0.0001,relu,4051.319580078125,49.29457092285156
fcnn,0.0001,relu,6212.830078125,68.28154754638672
fcnn,0.0001,relu,2899.419677734375,38.18820571899414
fcnn,0.0001,relu,3660.193359375,45.29563522338867
fcnn,0.0001,relu,6134.36083984375,67.82686614990234
fcnn,0.0001,relu,4838.46533203125,57.37143325805664
fcnn,0.0001,relu,5018.384765625,58.80166244506836
fcnn,0.0001,relu,3773.7451171875,44.836669921875
fcnn,0.0001,relu,4346.58935546875,53.14336013793945
fcnn,0.0001,relu,4755.34423828125,55.545570373535156
fcnn,0.0001,relu,5048.19482421875,58.430782318115234
fcnn,0.0001,relu,3721.62744140625,47.55295944213867
fcnn,0.0001,relu,4296.0068359375,52.89769744873047
fcnn,0.0001,relu,4659.51611328125,55.44255065917969
fcnn,0.0001,relu,4637.259765625,55.901763916015625
fcnn,0.0001,relu,3488.146240234375,43.55601119995117
fcnn,0.0001,relu,3275.720458984375,42.03240966796875
fcnn,0.0001,relu,4199.79248046875,51.895503997802734
fcnn,0.0001,relu,6025.81982421875,67.17529296875
fcnn,0.0001,relu,6098.00634765625,67.56072998046875
fcnn,0.0001,relu,4528.1748046875,53.87957763671875
fcnn,0.0001,relu,4138.34228515625,50.63143539428711
fcnn,0.0001,relu,3487.16650390625,44.269187927246094
fcnn,0.0001,relu,6252.6279296875,68.509765625
fcnn,0.0001,relu,5129.0966796875,59.66337203979492
fcnn,0.0001,relu,5137.95068359375,59.30224609375
fcnn,0.0001,relu,3697.519775390625,45.89897537231445
fcnn,0.0001,relu,3511.320068359375,44.296958923339844
fcnn,0.0001,relu,6182.81201171875,67.8924331665039
fcnn,0.0001,relu,5014.30029296875,57.3826789855957
fcnn,0.0001,relu,3821.053955078125,45.784542083740234
fcnn,0.0001,relu,5631.22119140625,63.98749542236328
fcnn,0.0001,relu,4811.31494140625,56.947757720947266
fcnn,1e-05,relu,6167.37939453125,67.97379302978516
fcnn,1e-05,relu,6226.4130859375,68.3008804321289
fcnn,1e-05,relu,6195.92138671875,68.1719741821289
fcnn,1e-05,relu,6111.15869140625,67.5016098022461
fcnn,1e-05,relu,6136.47216796875,67.658935546875
fcnn,1e-05,relu,5955.9072265625,66.0268325805664
fcnn,1e-05,relu,6174.25830078125,67.88202667236328
fcnn,1e-05,relu,6252.6279296875,68.509765625
fcnn,1e-05,relu,6252.6279296875,68.509765625
fcnn,1e-05,relu,6195.39599609375,68.2152099609375
fcnn,1e-05,relu,5988.81103515625,66.7767562866211
fcnn,1e-05,relu,5963.88037109375,66.85322570800781
fcnn,1e-05,relu,6194.8662109375,68.15303039550781
fcnn,1e-05,relu,6136.35107421875,67.55720520019531
fcnn,1e-05,relu,5989.95263671875,66.43476867675781
fcnn,1e-05,relu,6131.74853515625,67.54313659667969
fcnn,1e-05,relu,6128.2265625,67.7149429321289
fcnn,1e-05,relu,5994.59716796875,66.91509246826172
fcnn,1e-05,relu,6223.25830078125,68.28961944580078
fcnn,1e-05,relu,6096.2060546875,67.3213882446289
fcnn,1e-05,relu,6231.6630859375,68.37966918945312
fcnn,1e-05,relu,6225.4169921875,68.30062866210938
fcnn,1e-05,relu,6222.32861328125,68.27913665771484
fcnn,1e-05,relu,6226.939453125,68.29891204833984
fcnn,1e-05,relu,6204.29443359375,68.10384368896484
fcnn,1e-05,relu,6232.10888671875,68.4295883178711
fcnn,1e-05,relu,6199.54443359375,68.07371520996094
fcnn,1e-05,relu,6234.9140625,68.39361572265625
fcnn,1e-05,relu,6067.931640625,67.22803497314453
fcnn,1e-05,relu,6150.2294921875,67.88892364501953
fcnn,1e-05,relu,6151.50634765625,67.77555084228516
fcnn,1e-05,relu,6231.93505859375,68.29937744140625
fcnn,1e-05,relu,6242.88427734375,68.44977569580078
fcnn,1e-05,relu,6235.0546875,68.37200164794922
fcnn,1e-05,relu,6167.447265625,68.01557159423828
fcnn,1e-05,relu,6093.22021484375,67.27261352539062
fcnn,1e-05,relu,6243.15087890625,68.43531036376953
fcnn,1e-05,relu,6211.3466796875,68.20121765136719
fcnn,1e-05,relu,6166.2333984375,68.07758331298828
fcnn,1e-05,relu,6252.6279296875,68.509765625
fcnn,1e-05,relu,6252.6279296875,68.509765625
fcnn,1e-05,relu,6135.28369140625,67.79047393798828
fcnn,1e-05,relu,6239.546875,68.42469024658203
fcnn,1e-05,relu,6128.6103515625,67.70813751220703
fcnn,1e-05,relu,6219.703125,68.37823486328125
fcnn,1e-05,relu,6251.46826171875,68.50157165527344
fcnn,1e-05,relu,6191.64990234375,68.15701293945312
fcnn,1e-05,relu,6215.66162109375,68.3527603149414
fcnn,1e-05,relu,6124.28564453125,67.82994842529297
fcnn,1e-05,relu,6120.0869140625,67.78459930419922
fcnn,1e-05,relu,6206.5234375,68.12515258789062
fcnn,1e-05,relu,6220.9970703125,68.28453826904297
fcnn,1e-05,relu,6225.15478515625,68.32061004638672
fcnn,1e-05,relu,6194.1982421875,68.14450073242188
fcnn,1e-05,relu,6229.26904296875,68.38716125488281
fcnn,1e-05,relu,6166.1708984375,68.10678100585938
fcnn,1e-05,relu,6042.642578125,66.96163940429688
fcnn,1e-05,relu,6161.73388671875,67.783935546875
fcnn,1e-05,relu,5994.580078125,66.61564636230469
fcnn,1e-05,relu,6249.85400390625,68.48558044433594
fcnn,1e-05,relu,6166.74365234375,67.88787841796875
fcnn,1e-05,relu,6195.369140625,68.06294250488281
fcnn,1e-05,relu,6198.916015625,68.18389129638672
fcnn,1e-05,relu,6069.0947265625,67.05269622802734
fcnn,1e-05,relu,6231.2783203125,68.36556243896484
fcnn,1e-05,relu,6150.125,67.7435531616211
fcnn,1e-05,relu,6215.26123046875,68.23021697998047
fcnn,1e-05,relu,6177.92626953125,68.06909942626953
fcnn,1e-05,relu,6130.38720703125,67.630859375
fcnn,1e-05,relu,6217.349609375,68.25038146972656
fcnn,1e-05,relu,6093.80078125,67.31021881103516
fcnn,1e-05,relu,6143.3603515625,67.73560333251953
fcnn,1e-05,relu,6219.6376953125,68.34373474121094
fcnn,1e-05,relu,6237.66845703125,68.3978500366211
fcnn,1e-05,relu,6027.669921875,67.43370819091797
fcnn,1e-05,relu,6156.6357421875,67.68104553222656
fcnn,1e-05,relu,6121.373046875,67.46766662597656
fcnn,1e-05,relu,6046.6748046875,66.91748046875
fcnn,1e-05,relu,6215.75048828125,68.32121276855469
fcnn,1e-05,relu,6226.29345703125,68.29914093017578
fcnn,1e-05,relu,6252.6279296875,68.509765625
fcnn,1e-05,relu,6232.9619140625,68.36836242675781
fcnn,1e-05,relu,6220.591796875,68.30614471435547
fcnn,1e-05,relu,6067.9375,67.2229995727539
fcnn,1e-05,relu,6148.2734375,67.80952453613281
fcnn,1e-05,relu,6225.8828125,68.31993103027344
fcnn,1e-05,relu,6162.5146484375,67.70879364013672
fcnn,1e-05,relu,6207.61474609375,68.16167449951172
fcnn,1e-05,relu,6152.95263671875,67.74261474609375
fcnn,1e-05,relu,6165.02490234375,67.83309936523438
fcnn,1e-05,relu,6216.86376953125,68.19183349609375
fcnn,1e-05,relu,6235.48193359375,68.37635040283203
fcnn,1e-05,relu,6224.67626953125,68.35576629638672
fcnn,1e-05,relu,6252.6279296875,68.509765625
fcnn,1e-05,relu,6216.986328125,68.22984313964844
