Model,Training_Rate,Activation,MSE,MAE
fcnn,0.1,relu,1581.5023193359375,32.542484283447266
fcnn,0.1,relu,1138.6517333984375,29.04785919189453
fcnn,0.1,relu,545.80224609375,18.191444396972656
fcnn,0.1,relu,1847.718017578125,37.131858825683594
fcnn,0.1,relu,2447.52197265625,43.60438919067383
fcnn,0.1,relu,3528.06103515625,54.93567657470703
fcnn,0.1,relu,818.2157592773438,18.946548461914062
fcnn,0.1,relu,2214.138427734375,42.04721450805664
fcnn,0.1,relu,1546.6976318359375,36.224937438964844
fcnn,0.1,relu,1570.464111328125,23.817975997924805
fcnn,0.1,relu,1256.5301513671875,31.315345764160156
fcnn,0.1,relu,620.66748046875,19.975297927856445
fcnn,0.1,relu,1799.0594482421875,35.61956024169922
fcnn,0.1,relu,439.49407958984375,14.785257339477539
fcnn,0.1,relu,752.9129028320312,19.74908447265625
fcnn,0.1,relu,932.4050903320312,23.166357040405273
fcnn,0.1,relu,645.391357421875,18.74407386779785
fcnn,0.1,relu,596.6348266601562,17.392236709594727
fcnn,0.1,relu,1257.503662109375,30.37493896484375
fcnn,0.1,relu,1016.93017578125,26.118106842041016
fcnn,0.1,relu,1502.901611328125,22.501760482788086
fcnn,0.1,relu,2868.971923828125,46.965885162353516
fcnn,0.1,relu,4536.85205078125,59.4698600769043
fcnn,0.1,relu,1533.6549072265625,28.683231353759766
fcnn,0.1,relu,709.1922607421875,18.68014144897461
fcnn,0.1,relu,557.8283081054688,16.509685516357422
fcnn,0.1,relu,22803.205078125,146.61904907226562
fcnn,0.1,relu,495.3953552246094,15.276326179504395
fcnn,0.1,relu,449.08270263671875,14.793331146240234
fcnn,0.1,relu,999.586669921875,25.141597747802734
fcnn,0.1,relu,1302.068359375,28.777015686035156
fcnn,0.1,relu,2257.856201171875,38.719974517822266
fcnn,0.1,relu,1514.5762939453125,31.2017765045166
fcnn,0.1,relu,6447.5908203125,76.6441421508789
